AdmGUIDValue_tab,DarInstitutionCode,DarBasisOfRecord,DarCatalogNumber,DarCollectorNumber,DarCollector,DarRelatedInformation,DarYearCollected,DarContinentOcean,DarCountry,DarStateProvince,DarCounty,DarLocality,DarMinimumElevation,DarMaximumElevation,DarDecimalLatitude,DarDecimalLongitude,DarGeorefMethod,DarCoordinateUncertaintyInMeter,DarIdentifiedBy,DarTypeStatus,DarScientificName,DarKingdom,DarPhylum,DarFamily,DarGenus,DarSpecies,DarSubspecies,DarSpecificEpithet,DarInfraspecificEpithet,DarInfraspecificRank,DarScientificNameAuthor
01c4cbc2-5a17-45af-8c38-8177751d9066,NY,PreservedSpecimen,2449872,14372,D. E. Atha,http://sweetgum.nybg.org/vh/specimen.php?irn=2624276,2014,North America,United States of America,New York,New York Co.,"Central Park, North Woods, between 108th and 109th Sts and between Lenox Ave and Adam Clayton Powell Jr Blvd",14,14,40.798,-73.9546,GPS,,D. E. Atha,,Stellaria media (L.) Vill.,Plantae,Magnoliophyta,Caryophyllaceae,Stellaria,media,,Species,,,
ddfcb572-2e55-4e95-b26c-fd3886524190,NY,PreservedSpecimen,2449873,14373,D. E. Atha,http://sweetgum.nybg.org/vh/specimen.php?irn=2624277,2014,North America,United States of America,New York,New York Co.,"Central Park, North Woods, between 108th and 109th Sts and between Lenox Ave and Adam Clayton Powell Jr Blvd",14,14,40.798,-73.9546,GPS,,D. E. Atha,,Stellaria media (L.) Vill.,Plantae,Magnoliophyta,Caryophyllaceae,Stellaria,media,,Species,,,
c12a1340-272b-4290-90de-30f92b037fdd,NY,PreservedSpecimen,2456405,14605,D. E. Atha,http://sweetgum.nybg.org/vh/specimen.php?irn=2652016,2014,North America,United States of America,New York,New York Co.,"Central Park.  Ramble, north of the Boathouse.  Between 76th and 77th Sts at about 6th Ave",52,52,40.7768,-73.9691,GPS,25,R. C. Moran,,Athyrium filix-femina (L.) Roth,Plantae,Pteridophyta,Athyriaceae,Athyrium,filix-femina,,Species,,,
8ea2952d-11a2-49aa-ac97-c6bd52952ef7,NY,PreservedSpecimen,2589611,15011,D. E. Atha,http://sweetgum.nybg.org/vh/specimen.php?irn=2911694,2015,North America,United States of America,New York,New York Co.,Central Park. Sheep Meadow.  Northeast of Mineral Springs. Between 70th and 71st Streets and between 6th and 7th Avenues,21,21,40.7732,-73.9728,GPS,,D. E. Atha,,Dennstaedtia punctilobula (Michx.) T.Moore,Plantae,Pteridophyta,Dennstaedtiaceae,Dennstaedtia,punctilobula,,Species,,,
1432d6b3-1b2a-4c7f-827a-c8c3be873643,NY,PreservedSpecimen,2589681,14981,D. E. Atha,http://sweetgum.nybg.org/vh/specimen.php?irn=2890748,2015,North America,United States of America,New York,New York Co.,"Central Park. North Woods, Ravine. Southwest of the Lasker Rink.  Between 105th and 106th Sts and between 6th and 7th Aves",49,49,40.7961,-73.9563,GPS,,D. E. Atha,,Polystichum acrostichoides (Michx.) Schott,Plantae,Pteridophyta,Dryopteridaceae,Polystichum,acrostichoides,,Species,,,
77de363b-794b-43db-81b3-606be328018b,NY,PreservedSpecimen,2457026,14926,D. E. Atha,http://sweetgum.nybg.org/vh/specimen.php?irn=2733255,2014,North America,United States of America,New York,New York Co.,Central Park. Great Hill. Between 102nd and 103rd St. and between 7th and 8th Aves,28,28,40.7952,-73.9597,GPS,25,D. E. Atha,,Vigna unguiculata (L.) Walp.,Plantae,Magnoliophyta,Fabaceae,Vigna,unguiculata,,Species,,,
9fc3ae08-6507-441c-94cd-9ccff5022f39,NY,PreservedSpecimen,2449874,14374,D. E. Atha,http://sweetgum.nybg.org/vh/specimen.php?irn=2624278,2014,North America,United States of America,New York,New York Co.,"Central Park, North Woods, between 108th and 109th Sts  and between Lenox Ave and Adam Clayton Powell Jr Blvd",14,14,40.7979,-73.9547,GPS,,C. S. Campbell,,Amelanchier sanguinea (Pursh) DC.,Plantae,Magnoliophyta,Rosaceae,Amelanchier,sanguinea,,Species,,,
4723f19b-83dc-4c09-8da1-a310cefdef6a,NY,PreservedSpecimen,2456314,14514,D. E. Atha,http://sweetgum.nybg.org/vh/specimen.php?irn=2643376,2014,North America,United States of America,New York,New York Co.,"Central Park, North Woods, between 108th and 109th Sts and between 6th and 7th Aves",14,14,40.7979,-73.9547,GPS,25,D. E. Atha,,Amelanchier sanguinea (Pursh) DC.,Plantae,Magnoliophyta,Rosaceae,Amelanchier,sanguinea,,Species,,,
52e9ee96-622f-414a-be0a-52743decc474,NY,PreservedSpecimen,9490,,,http://sweetgum.nybg.org/vh/specimen.php?irn=288326,1867,North America,United States of America,New York,New York Co.,Central Park,,,40.7823,-73.9654,GEOLocate Web Application,2545,,,Torreya taxifolia Arn.,Plantae,Pinophyta,Taxaceae,Torreya,taxifolia,,Species,,,
bf326b0b-e164-4e19-b094-3e3f0fc3de46,NY,PreservedSpecimen,9495,,,http://sweetgum.nybg.org/vh/specimen.php?irn=288331,1867,North America,United States of America,New York,New York Co.,Central Park,,,40.7823,-73.9654,GEOLocate Web Application,2545,,,Torreya taxifolia Arn.,Plantae,Pinophyta,Taxaceae,Torreya,taxifolia,,Species,,,
939707b8-a4ca-4546-9e71-9af6ff55297d,NY,PreservedSpecimen,2456481,14681,D. E. Atha,http://sweetgum.nybg.org/vh/specimen.php?irn=2681463,2014,North America,United States of America,New York,New York Co.,Central Park. 79th St Transverse.  At 81st St and between 7th and 8th Aves,29,29,40.7819,-73.9714,GPS,,D. E. Atha,,Dysphania pumilio (R.Br.) Mosyakin & Clemants,Plantae,Magnoliophyta,Amaranthaceae,Dysphania,pumilio,,Species,,,
c8dc2cee-9429-4a93-9f20-5be1bbc914a5,NY,PreservedSpecimen,2549555,15055,D. E. Atha,http://sweetgum.nybg.org/vh/specimen.php?irn=2913433,2015,North America,United States of America,New York,New York Co.,Central Park.  Ramble. Between 76th and 77th Streets and between 5th and 6th Avenues,18,18,40.7763,-73.9684,GPS,,D. E. Atha,,Euonymus europaeus L.,Plantae,Magnoliophyta,Celastraceae,Euonymus,europaeus,,Species,,,
d0eaf34e-0236-447e-a144-b2ac0308aa16,NY,PreservedSpecimen,2456381,14731,D. E. Atha,http://sweetgum.nybg.org/vh/specimen.php?irn=2686845,2014,North America,United States of America,New York,New York Co.,"Central Park. Tennis House, at the 97th St Transverse. Between 96th and 97th Streets and between 7th and 8th Avenues",30,30,40.7916,-73.9629,GPS,,D. E. Atha,,Prunus serotina Ehrh.,Plantae,Magnoliophyta,Rosaceae,Prunus,serotina,,Species,,,
8cff9ab6-dfb2-42cf-86b7-5271d573c837,NY,PreservedSpecimen,2456450,14504,D. E. Atha,http://sweetgum.nybg.org/vh/specimen.php?irn=2643328,2014,North America,United States of America,New York,New York Co.,Central Park. Conservatory Garden. Between 105th and 106th St and between 5th and 6th Aves,7,7,40.7941,-73.9521,GPS,25,D. E. Atha,,Sagina procumbens L.,Plantae,Magnoliophyta,Caryophyllaceae,Sagina,procumbens,,Species,,,
2a07a1be-02da-4e72-bea1-138d82f69487,NY,PreservedSpecimen,2456492,14692,D. E. Atha,http://sweetgum.nybg.org/vh/specimen.php?irn=2682219,2014,North America,United States of America,New York,New York Co.,Central Park. 79th St Transverse. Between 79th and 80th Sts and between 5th and 6th Aves,46,46,40.7785,-73.9666,GPS,,D. E. Atha,,Mentha spicata L.,Plantae,Magnoliophyta,Lamiaceae,Mentha,spicata,,Species,,,
410d0dc0-3443-4f37-8b6d-b7ec7fbe93f3,NY,PreservedSpecimen,64403,s.n.,Collector unspecified,http://sweetgum.nybg.org/vh/specimen.php?irn=409881,1867,North America,United States of America,New York,New York Co.,"Central Park, New York City",,,40.7823,-73.9654,GEOLocate Web Application,2545,,,Cryptomeria japonica (Thunb. ex L.f.) D.Don,Plantae,Pinophyta,Cupressaceae,Cryptomeria,japonica,,Species,,,
b3693a36-ea4c-4352-9385-9a274bff3174,NY,PreservedSpecimen,62509,s.n.,Illegible collector name,http://sweetgum.nybg.org/vh/specimen.php?irn=751802,1895,North America,United States of America,New York,New York Co.,Central Park,,,40.7823,-73.9654,GEOLocate Web Application,2545,,,Pinus resinosa Aiton,Plantae,Pinophyta,Pinaceae,Pinus,resinosa,,Species,,,
